Year,Fraternity/Sorority,Men's Average,Women's Average,Undergrad Average,Council Average,Greek Average,Chapter Size,Dean's List #,Dean's List %
2021,Alpha Delta Phi,✓,,✓,✓,✓,71,40,56%
2021,Alpha Sigma Phi,✓,,✓,,✓,72,38,53%
2021,Beta Theta Pi,✓,,✓,,,113,65,58%
2021,Chi Psi,✓,,✓,,✓,73,43,59%
2021,Delta Kappa Epsilon,✓,,,,,19,10,53%
2021,Delta Tau Delta,✓,,✓,✓,✓,72,35,49%
2021,Kappa Sigma,✓,,✓,,,68,38,56%
2021,Lambda Chi Alpha,✓,,,,,17,5,29%
2021,Phi Delta Theta,✓,,✓,,✓,80,55,69%
2021,Phi Gamma Delta,✓,,✓,,✓,104,72,69%
2021,Phi Kappa Psi,✓,,✓,,,84,48,57%
2021,Phi Kappa Sigma,✓,,,,,58,28,48%
2021,Phi Kappa Tau,✓,,,,,11,3,27%
2021,Pi Kappa Alpha,✓,,✓,✓,✓,76,36,47%
2021,Pi Kappa Phi,✓,,✓,✓,✓,96,45,47%
2021,Psi Upsilon,✓,,✓,✓,✓,20,4,20%
2021,Sigma Alpha Epsilon,✓,,,,,51,18,35%
2021,Sigma Chi,✓,,✓,✓,✓,84,32,38%
2021,Sigma Nu,✓,,✓,✓,✓,28,14,50%
2021,Sigma Phi Epsilon,✓,,✓,✓,✓,94,33,35%
2021,Tau Kappa Epsilon,✓,,,,,88,46,52%
2021,Theta Delta Chi,✓,,,,,40,20,50%
2021,Theta Xi,✓,,,,,54,26,48%
2021,Zeta Psi,✓,,,,,77,35,45%
2021,Alpha Chi Omega,,✓,✓,✓,✓,124,80,65%
2021,Alpha Delta Pi,,✓,✓,✓,✓,112,75,67%
2021,Alpha Gamma Delta,,✓,✓,✓,✓,120,65,54%
2021,Alpha Phi,,✓,✓,✓,✓,118,84,71%
2021,Alpha Xi Delta,,✓,✓,✓,✓,139,76,55%
2021,Chi Omega,,✓,✓,✓,✓,121,92,76%
2021,Delta Delta Delta,,✓,✓,✓,✓,108,76,70%
2021,Delta Gamma,,✓,✓,✓,✓,138,77,56%
2021,Delta Zeta,,✓,✓,✓,✓,121,75,62%
2021,Gamma Phi Beta,,✓,✓,✓,✓,127,99,78%
2021,Kappa Alpha Theta,,✓,✓,✓,✓,122,85,70%
2021,Kappa Delta,,✓,✓,✓,✓,115,71,62%
2021,Kappa Kappa Gamma,,✓,✓,✓,✓,114,61,54%
2021,Phi Mu,,✓,✓,✓,✓,127,67,53%
2021,Phi Sigma Rho,,✓,,,✓,71,47,66%
2021,Pi Beta Phi,,✓,,,✓,123,73,59%
2021,Sigma Kappa,,,,,,0,0,61%
2021,Zeta Tau Alpha,,,,,,0,0,60%
