Year,Fraternity/Sorority,Men's Average,Women's Average,Undergrad Average,Council Average,Greek Average,Chapter Size,Dean's List #,Dean's List %
2020,Alpha Delta Phi,✓,,✓,✓,✓,86,59,69%
2020,Alpha Phi Alpha,✓,,,,,4,1,25%
2020,Alpha Sigma Phi,✓,,✓,,✓,88,45,51%
2020,Beta Theta Pi,✓,,✓,,✓,107,79,74%
2020,Chi Psi,✓,,✓,,,64,43,67%
2020,Delta Tau Delta,✓,,✓,,✓,72,49,68%
2020,Kappa Alpha,✓,,✓,,,43,26,59%
2020,Kappa Sigma,✓,,✓,,,64,41,64%
2020,Lambda Chi Alpha,✓,,,,,23,14,61%
2020,Lambda Phi Epsilon,✓,,✓,✓,✓,7,4,57%
2020,Phi Delta Theta,✓,,✓,,✓,85,67,79%
2020,Phi Gamma Delta,✓,,✓,✓,,100,78,78%
2020,Phi Kappa Psi,✓,,✓,,,81,51,63%
2020,Phi Kappa Sigma,✓,,,,,69,26,38%
2020,Phi Kappa Tau,✓,,✓,,,24,9,38%
2020,Pi Kappa Alpha,✓,,✓,✓,,76,49,64%
2020,Pi Kappa Phi,✓,,✓,✓,,98,70,71%
2020,Psi Upsilon,✓,,,✓,✓,29,13,45%
2020,Sigma Alpha Epsilon,✓,,✓,✓,,51,34,47%
2020,Sigma Chi,✓,,✓,✓,✓,104,47,45%
2020,Sigma Nu,✓,,✓,✓,✓,42,24,57%
2020,Sigma Phi Epsilon,✓,,✓,✓,✓,84,64,76%
2020,Tau Kappa Epsilon,✓,,✓,✓,,85,57,67%
2020,Theta Delta Chi,✓,,✓,,,40,19,48%
2020,Theta Xi,✓,,,,,61,44,72%
2020,Zeta Psi,,✓,✓,✓,✓,84,51,61%
2020,Alpha Chi Omega,,✓,✓,✓,✓,129,92,71%
2020,Alpha Delta Pi,,✓,✓,,,117,89,76%
2020,Alpha Epsilon Phi,,✓,✓,✓,✓,11,7,64%
2020,Alpha Gamma Delta,,✓,✓,,✓,122,92,75%
2020,Alpha Omicron Pi,,✓,✓,✓,✓,61,44,72%
2020,Alpha Phi,,✓,✓,✓,✓,132,101,77%
2020,Alpha Xi Delta,,✓,✓,✓,✓,138,108,78%
2020,Chi Omega,,✓,✓,✓,✓,130,105,81%
2020,Delta Delta Delta,,✓,✓,✓,✓,127,108,85%
2020,Delta Gamma,,✓,✓,,✓,164,107,65%
2020,Delta Kappa Delta,,✓,✓,✓,✓,15,11,73%
2020,Delta Zeta,,✓,✓,✓,✓,125,98,78%
2020,Gamma Phi Beta,,✓,✓,✓,✓,177,117,66%
2020,Kappa Alpha Theta,,✓,✓,✓,✓,137,108,79%
2020,Kappa Delta,,✓,✓,,✓,130,95,73%
2020,Kappa Kappa Gamma,,✓,✓,,✓,130,109,84%
2020,Lambda Theta Alpha,,✓,✓,,✓,15,8,53%
2020,Phi Mu,,✓,✓,,✓,128,90,70%
2020,Phi Sigma Rho,,✓,✓,,✓,74,58,69%
2020,Pi Beta Phi,,✓,✓,,✓,145,104,78%
2020,Sigma Kappa,,✓,✓,,✓,123,81,66%
2020,Sigma Lambda Gamma,,,,,✓,7,5,71%
2020,Zeta Tau Alpha,,,,,,107,66,62%
