Year,Fraternity/Sorority,Men's Average,Women's Average,Undergrad Average,Council Average,Greek Average,Chapter Size,Dean's List #,Dean's List %
2022,Alpha Delta Phi,✓,,✓,,✓,80,33,41%
2022,Alpha Sigma Phi,✓,,,,,66,31,47%
2022,Chi Psi,✓,,✓,✓,✓,72,32,44%
2022,Delta Kappa Epsilon,✓,,,,✓,26,17,65%
2022,Delta Tau Delta,✓,,,,,73,37,51%
2022,Lambda Chi Alpha,✓,,,,,32,17,53%
2022,Phi Delta Theta,✓,,✓,✓,✓,89,53,60%
2022,Phi Gamma Delta,✓,,✓,,✓,104,69,66%
2022,Phi Kappa Psi,✓,,,,,56,31,55%
2022,Phi Kappa Sigma,✓,,,,,43,18,42%
2022,Pi Kappa Alpha,✓,,✓,✓,✓,58,30,52%
2022,Psi Upsilon,✓,,,,,25,8,32%
2022,Sigma Alpha Epsilon,,,,,✓,34,16,47%
2022,Sigma Chi,✓,,✓,✓,✓,100,49,49%
2022,Sigma Nu,✓,,✓,,✓,28,14,50%
2022,Sigma Phi Epsilon,✓,,✓,,✓,90,64,71%
2022,Tau Kappa Epsilon,✓,,,,,86,37,43%
2022,Theta Xi,✓,,,,,42,19,45%
2022,Alpha Chi Omega,,✓,✓,✓,✓,97,59,61%
2022,Alpha Delta Pi,,✓,✓,✓,✓,92,54,59%
2022,Alpha Gamma Delta,,✓,✓,✓,✓,74,46,62%
2022,Alpha Phi,,✓,✓,,✓,106,62,58%
2022,Alpha Xi Delta,,✓,✓,✓,✓,110,73,66%
2022,Chi Omega,,✓,✓,,✓,118,68,58%
2022,Delta Delta Delta,,✓,✓,,✓,106,75,71%
2022,Delta Gamma,,✓,✓,,✓,117,71,61%
2022,Delta Zeta,,✓,✓,,✓,101,55,54%
2022,Gamma Phi Beta,,✓,✓,,✓,100,70,70%
2022,Kappa Delta,,✓,✓,,✓,112,75,67%
2022,Kappa Kappa Gamma,,✓,✓,,✓,108,66,61%
2022,Phi Mu,,✓,✓,,✓,121,55,45%
2022,Phi Sigma Rho,,✓,✓,,✓,69,40,58%
2022,Pi Beta Phi,,✓,✓,,,99,68,69%
2022,Sigma Kappa,,✓,,,,117,66,56%
2022,Zeta Tau Alpha,,,,,,,,63%
